,Time,Date,Humidity (%),Temp (C)
0,0,12/03/21,84,26.2
1,1800,12/03/21,81,25.900000000000002
2,3600,12/03/21,87,26.5
3,5400,12/03/21,91,25.5
4,7200,12/03/21,97,26.0
5,9000,12/03/21,94,26.3
6,10800,12/03/21,97,27.1
7,12600,12/03/21,98,26.2
8,14400,12/03/21,81,25.7
9,16200,12/03/21,92,25.599999999999998
10,18000,12/03/21,92,26.7
11,19800,12/03/21,83,27.1
12,21601,12/03/21,87,25.700000000000003
13,23401,12/03/21,97,26.6
14,25201,12/03/21,93,25.599999999999998
15,27001,12/03/21,95,27.2
16,28801,12/03/21,91,26.5
17,30601,12/03/21,99,26.9
18,32401,12/03/21,85,27.3
19,34201,12/03/21,97,27.1
20,36001,12/03/21,87,26.6
21,37801,12/04/21,81,25.9
22,39602,12/04/21,80,25.3
23,41402,12/04/21,98,25.599999999999998
24,43202,12/04/21,82,26.599999999999998
25,45002,12/04/21,96,26.099999999999998
26,46802,12/04/21,94,26.799999999999997
27,48602,12/04/21,80,25.799999999999997
28,50402,12/04/21,86,27.299999999999997
29,52202,12/04/21,81,26.799999999999997
30,54002,12/04/21,82,27.0
31,55802,12/04/21,96,25.5
32,57602,12/04/21,99,25.3
33,59402,12/04/21,92,25.2
34,61203,12/04/21,92,26.2
35,63003,12/04/21,95,26.8
36,64803,12/04/21,93,25.5
37,66603,12/04/21,98,25.6
38,68403,12/04/21,86,26.400000000000002
39,70203,12/04/21,98,26.1
40,72003,12/04/21,96,26.900000000000002
41,73803,12/04/21,88,25.8
42,75603,12/04/21,92,25.400000000000002
43,77404,12/04/21,86,26.200000000000003
44,79204,12/04/21,93,27.0
45,81004,12/04/21,88,26.1
46,82804,12/04/21,97,25.700000000000003
47,84604,12/04/21,86,26.3
48,86404,12/04/21,91,26.9
49,88204,12/04/21,98,25.3
50,90004,12/04/21,88,26.200000000000003
51,91804,12/04/21,97,25.400000000000002
52,93604,12/04/21,92,26.1
53,95404,12/04/21,87,27.0
54,97205,12/04/21,99,25.599999999999998
55,99005,12/04/21,99,24.9
56,100805,12/04/21,82,25.200000000000003
57,102605,12/04/21,83,25.8
58,104405,12/04/21,93,23.8
59,106205,12/04/21,81,24.7
60,108005,12/04/21,84,24.8
61,109805,12/04/21,88,26.0
62,111605,12/04/21,89,26.700000000000003
63,113405,12/04/21,96,25.8
64,115205,12/04/21,97,25.099999999999998
65,117005,12/04/21,93,26.7
66,118806,12/04/21,83,25.8
67,120606,12/04/21,81,26.5
68,122406,12/04/21,88,26.099999999999998
69,124206,12/05/21,90,25.8
70,126006,12/05/21,82,26.700000000000003
71,127806,12/05/21,88,25.6
